,county_name,production,consumption,is_business,direct_solar_radiation,installed_capacity,product_type
0,HARJUMAA,579.9639562345603,1502.8461325855794,0.5680235709806232,151.6689624429459,4531.6378168008105,1.7120157139870822
1,HIIUMAA,64.77410223922278,36.8421765547742,0.3333333333333333,151.2906040544995,338.92141622715457,2.3333333333333335
2,IDA-VIRUMAA,68.22421019436356,226.0873002423942,0.48817921699376265,154.89182734709576,446.4245563094781,2.052683324610131
3,JÄRVAMAA,138.91470411012526,214.9728834640424,0.5,151.2906040544995,1015.7442029378641,2.0
4,JÕGEVAMAA,101.44288625392912,233.1849827897933,0.5880526906454386,153.56791956367806,837.0490972244422,1.6179209640318422
5,LÄÄNE-VIRUMAA,185.1625884353704,317.3008329169231,0.5980822681567638,151.86398014921213,1328.9417020063318,1.6076709273729448
6,LÄÄNEMAA,22.574849748653996,160.22384863064497,1.0,151.2906040544995,447.19918525436765,3.0
7,PÄRNUMAA,207.35462312136838,295.5548561615005,0.5411559098559083,147.17725690362514,1549.683553123209,1.6392293934293944
8,PÕLVAMAA,125.07149662628649,102.63794725121782,0.3333333333333333,151.2906040544995,850.5103808830532,2.3333333333333335
9,RAPLAMAA,128.3679928792166,102.65491357268434,0.5,151.2906040544995,748.1248668346884,2.0
10,SAAREMAA,183.25460018122146,287.88833553206575,0.5415436694641184,150.47984367601276,1100.1466975156663,2.0
11,TARTUMAA,283.087925650793,893.322749787157,0.5553729127529541,154.49526513873667,2187.240726910973,1.7487483212858976
12,UNKNOWN,14.079222398637514,542.0662344481376,1.0,151.2906040544995,360.05385397209096,3.0
13,VALGAMAA,126.89190221914129,134.5849265399717,0.4930064512714704,151.95670033602042,621.9910495806796,2.013987097457059
14,VILJANDIMAA,222.20496533720168,445.4261453851639,0.5131695565147706,152.4052946354572,1657.3723085229765,2.0
15,VÕRUMAA,123.45005667839415,188.75630666099872,0.5897890096380539,153.05160259091895,861.0312382531552,1.6408439614477843
